country_code,groupType,group,Year,n_obs,Optimism_better,Optimism_same,Optimism_worse,Optimism_DKNR,Econ_better,Econ_same,Econ_worse,Econ_DKNR,Happiness_better,Happiness_same,Happiness_worse,Happiness_DKNR,OptimismScore,EconScore,HappinessScore,code
Bulgaria,Overall,Overall,2013,1013,21.81638697,38.005923,26.35735439,13.82033564,11.45113524,36.92003949,41.55972359,10.06910168,34.55083909,51.53010859,9.378084896,4.540967423,-4.540967423,-30.10858835,25.1727542,BGR
Bulgaria,Overall,Overall,2016,820,20.6097561,40.12195122,26.82926829,12.43902439,12.68292683,40.97560976,32.92682927,13.41463415,41.58536585,45.6097561,10.48780488,2.317073171,-6.219512195,-20.24390244,31.09756098,BGR
Cameroon,Overall,Overall,2011,504,52.77777778,22.81746032,15.07936508,9.325396825,49.4047619,26.58730159,17.06349206,6.944444444,48.41269841,39.08730159,11.50793651,0.992063492,37.6984127,32.34126984,36.9047619,CMR
Canada,Overall,Overall,2011,1003,37.98604187,37.38783649,19.94017946,4.685942173,15.25423729,42.77168495,37.98604187,3.988035892,60.91724826,25.72283151,11.96410768,1.395812562,18.04586241,-22.73180459,48.95314058,CAN
Canada,Overall,Overall,2013,1006,45.42743539,38.96620278,12.42544732,3.180914513,20.47713718,54.37375746,21.66998012,3.479125249,64.01590457,24.055666,11.33200795,0.596421471,33.00198807,-1.192842942,52.68389662,CAN
Canada,Overall,Overall,2016,1001,37.06293706,32.96703297,24.47552448,5.494505495,15.68431568,41.95804196,35.86413586,6.493506494,63.63636364,23.97602398,11.28871129,1.098901099,12.58741259,-20.17982018,52.34765235,CAN
China,Overall,Overall,2011,500,56.2,12.6,28.2,3,47.4,21.2,26,5.4,41.4,41,16.6,1,28,21.4,24.8,CHN
China,Overall,Overall,2013,1150,58.86956522,28,7.826086957,5.304347826,49.47826087,31.65217391,13.82608696,5.043478261,53.30434783,36.17391304,9.826086957,0.695652174,51.04347826,35.65217391,43.47826087,CHN
China,Overall,Overall,2016,1150,62.26086957,30.95652174,5.913043478,0.869565217,44,44.60869565,10.34782609,1.043478261,81.39130435,16.7826087,1.826086957,0,56.34782609,33.65217391,79.56521739,CHN
Colombia,Overall,Overall,2011,606,63.03630363,23.59735974,10.72607261,2.640264026,41.74917492,42.57425743,14.02640264,1.650165017,73.92739274,21.94719472,3.300330033,0.825082508,52.31023102,27.72277228,70.62706271,COL
Colombia,Overall,Overall,2013,1021,56.70910872,26.05288932,15.08325171,2.154750245,35.06366308,45.54358472,18.1194907,1.273261508,85.79823702,10.96963761,2.252693438,0.979431929,41.625857,16.94417238,83.54554358,COL
Congo,Overall,Overall,2016,1000,34.5,27,21.9,16.6,32.3,25.2,27,15.5,56.5,32,10.4,1.1,12.6,5.3,46.1,COD
Czech Republic,Overall,Overall,2011,1000,12,55.5,29.4,3.1,6.3,60.4,30.5,2.8,40.6,46.4,12.2,0.8,-17.4,-24.2,28.4,CZE
Czech Republic,Overall,Overall,2013,1000,18.6,41.7,36.5,3.2,13.3,43.3,40.6,2.8,40.3,46.7,12,1,-17.9,-27.3,28.3,CZE
Czech Republic,Overall,Overall,2016,1000,27,46.7,22.4,3.9,23.2,48.9,24.2,3.7,47.7,42.7,8.4,1.2,4.6,-1,39.3,CZE
Denmark,Overall,Overall,2011,506,38.14229249,43.87351779,14.62450593,3.359683794,16.99604743,47.23320158,31.62055336,4.150197628,72.52964427,17.98418972,8.102766798,1.383399209,23.51778656,-14.62450593,64.42687747,DNK
Denmark,Overall,Overall,2013,511,43.05283757,42.66144814,7.82778865,6.457925636,37.3776908,46.77103718,11.15459883,4.69667319,73.38551859,17.80821918,7.82778865,0.978473581,35.22504892,26.22309198,65.55772994,DNK
Denmark,Overall,Overall,2016,1002,39.92015968,48.70259481,6.986027944,4.391217565,26.34730539,50.3992016,17.86427146,5.389221557,61.17764471,32.23552894,4.790419162,1.796407186,32.93413174,8.483033932,56.38722555,DNK
Ecuador,Overall,Overall,2011,400,35.5,19.75,36.75,8,21.5,34,42.75,1.75,62.75,30.5,5.5,1.25,-1.25,-21.25,57.25,ECU
Ecuador,Overall,Overall,2016,733,32.46930423,26.19372442,27.01227831,14.32469304,28.92223738,25.51159618,36.69849932,8.867667121,74.35197817,21.14597544,4.092769441,0.409276944,5.457025921,-7.776261937,70.25920873,ECU
Egypt,Overall,Overall,2011,1000,28.5,29.7,31.9,9.9,19,24.7,44.5,11.8,35.6,19.3,37.7,7.4,-3.4,-25.5,-2.1,EGY
Estonia,Overall,Overall,2016,483,51.55279503,32.09109731,6.211180124,10.14492754,10.55900621,54.03726708,26.08695652,9.316770186,51.96687371,39.7515528,4.761904762,3.519668737,45.34161491,-15.52795031,47.20496894,EST
Fiji,Overall,Overall,2011,1020,65.88235294,16.2745098,11.66666667,6.176470588,53.1372549,20.88235294,20.09803922,5.882352941,89.11764706,6.764705882,3.725490196,0.392156863,54.21568627,33.03921569,85.39215686,FJI
Fiji,Overall,Overall,2013,1020,70.78431373,4.117647059,18.7254902,6.37254902,62.15686275,17.64705882,13.82352941,6.37254902,88.1372549,6.960784314,3.921568627,0.980392157,52.05882353,48.33333333,84.21568627,FJI
Fiji,Overall,Overall,2016,512,69.921875,18.1640625,7.8125,4.1015625,48.6328125,33.0078125,14.84375,3.515625,91.015625,7.03125,1.953125,0,62.109375,33.7890625,89.0625,FJI
Finland,Overall,Overall,2011,984,39.02439024,36.07723577,23.17073171,1.727642276,17.07317073,48.17073171,33.23170732,1.524390244,68.90243902,29.16666667,1.62601626,0.304878049,15.85365854,-16.15853659,67.27642276,FIN
Finland,Overall,Overall,2013,1008,36.30952381,42.06349206,17.95634921,3.670634921,18.65079365,44.24603175,33.73015873,3.373015873,75.5952381,20.13888889,3.075396825,1.19047619,18.3531746,-15.07936508,72.51984127,FIN
Finland,Overall,Overall,2016,1005,34.82587065,33.93034826,22.48756219,8.756218905,13.43283582,53.93034826,27.56218905,5.074626866,49.95024876,36.31840796,12.8358209,0.895522388,12.33830846,-14.12935323,37.11442786,FIN
France,Overall,Overall,2011,1671,8.677438659,42.60921604,48.47396768,0.239377618,1.496110114,15.91861161,82.22621185,0.359066427,46.97785757,44.34470377,8.318372232,0.359066427,-39.79652902,-80.73010174,38.65948534,FRA
France,Overall,Overall,2013,1000,18.2,35.9,39,6.9,5.6,31.3,58.8,4.3,24.9,41.6,32.7,0.8,-20.8,-53.2,-7.8,FRA
France,Overall,Overall,2016,1007,28.89771599,35.15392254,24.13108242,11.81727905,15.19364449,29.79145978,45.38232373,9.632571996,51.83714002,41.50943396,6.554121152,0.099304866,4.766633565,-30.18867925,45.28301887,FRA
Georgia,Overall,Overall,2011,1000,62.7,14.1,8.9,14.3,55.2,18.2,12.4,14.2,52.2,37.5,5.9,4.4,53.8,42.8,46.3,GEO
Georgia,Overall,Overall,2013,1002,73.35329341,11.17764471,3.69261477,11.77644711,59.48103792,12.5748503,12.3752495,15.56886228,50.499002,42.81437126,4.890219561,1.796407186,69.66067864,47.10578842,45.60878244,GEO
Germany,Overall,Overall,2011,502,33.46613546,50.39840637,14.54183267,1.593625498,7.768924303,44.82071713,46.41434263,0.996015936,74.30278884,20.51792829,4.183266932,0.996015936,18.92430279,-38.64541833,70.11952191,DEU
Germany,Overall,Overall,2013,1000,31,47.2,21.8,0,13.8,48.7,37.1,0.4,52.3,29.1,18.4,0.2,9.2,-23.3,33.9,DEU
Germany,Overall,Overall,2016,1006,32.50497018,41.84890656,22.26640159,3.37972167,13.4194831,47.31610338,36.87872763,2.385685885,60.83499006,23.75745527,15.10934394,0.298210736,10.23856859,-23.45924453,45.72564612,DEU
Ghana,Overall,Overall,2011,1505,66.84385382,5.182724252,10.63122924,17.34219269,64.25249169,6.179401993,12.82392027,16.74418605,81.9269103,4.651162791,10.29900332,3.122923588,56.21262458,51.42857143,71.62790698,GHA
Ghana,Overall,Overall,2016,969,79.77296182,7.120743034,4.231166151,8.875128999,73.374613,12.59029928,5.572755418,8.462332301,67.59545924,4.850361197,26.00619195,1.547987616,75.54179567,67.80185759,41.58926729,GHA
Greece,Overall,Overall,2013,1000,15.6,26.2,55.9,2.3,5.1,24.5,70.1,0.3,29.6,47.1,23.1,0.2,-40.3,-65,6.5,GRC
Greece,Overall,Overall,2016,1004,20.81673307,24.80079681,50,4.38247012,5.378486056,32.27091633,59.3625498,2.988047809,31.1752988,52.58964143,15.83665339,0.398406375,-29.18326693,-53.98406375,15.33864542,GRC
Hong Kong,Overall,Overall,2011,500,26,30.2,39.8,4,10.8,40.2,47,2,41.6,48,10,0.4,-13.8,-36.2,31.6,HKG
Hong Kong,Overall,Overall,2013,500,23,32.2,38.8,6,10,45.2,41.6,3.2,41,47.4,10.6,1,-15.8,-31.6,30.4,HKG
Hong Kong,Overall,Overall,2016,496,15.32258065,29.23387097,50.2016129,5.241935484,8.266129032,23.99193548,64.31451613,3.427419355,35.68548387,42.13709677,21.97580645,0.201612903,-34.87903226,-56.0483871,13.70967742,HKG
Iceland,Overall,Overall,2011,852,22.76995305,55.28169014,21.94835681,0,10.56338028,45.42253521,43.42723005,0.58685446,72.65258216,19.71830986,6.924882629,0.704225352,0.821596244,-32.86384977,65.72769953,ISL
Iceland,Overall,Overall,2013,1127,20.40816327,59.4498669,18.01242236,2.129547471,8.518189885,40.81632653,43.7444543,6.921029281,69.74267968,23.33629104,5.235137533,1.685891748,2.395740905,-35.22626442,64.50754215,ISL
Iceland,Overall,Overall,2016,1065,20.93896714,64.31924883,10.98591549,3.755868545,18.68544601,44.1314554,20.75117371,16.43192488,78.30985915,14.74178404,5.633802817,1.314553991,9.953051643,-2.0657277,72.67605634,ISL
India,Overall,Overall,2011,1091,40.23831347,14.39046746,28.23098075,17.14023831,32.44729606,21.35655362,33.18056829,13.01558203,56.92025665,29.97250229,11.73235564,1.374885426,12.00733272,-0.733272227,45.18790101,IND
India,Overall,Overall,2013,1112,67.26618705,16.27697842,14.38848921,2.068345324,40.64748201,28.95683453,27.60791367,2.787769784,73.74100719,14.47841727,11.15107914,0.629496403,52.87769784,13.03956835,62.58992806,IND
India,Overall,Overall,2016,1225,69.06122449,11.42857143,10.85714286,8.653061224,68.97959184,10.7755102,16.24489796,4,64.89795918,20.65306122,13.95918367,0.489795918,58.20408163,52.73469388,50.93877551,IND
Indonesia,Overall,Overall,2013,1000,48.5,39.8,6.8,4.9,27.1,47.8,19.3,5.8,73.6,19.8,4.3,2.3,41.7,7.8,69.3,IDN
Indonesia,Overall,Overall,2016,1005,49.75124378,34.82587065,9.850746269,5.572139303,36.31840796,39.00497512,18.50746269,6.169154229,79.30348259,16.61691542,1.492537313,2.587064677,39.90049751,17.81094527,77.81094527,IDN
Iran,Overall,Overall,2016,684,35.52631579,24.12280702,24.12280702,16.22807018,28.94736842,27.92397661,29.97076023,13.15789474,42.25146199,44.29824561,11.98830409,1.461988304,11.40350877,-1.023391813,30.26315789,IRN
Iraq,Overall,Overall,2011,1000,51.6,19.1,26.1,3.2,47.3,24.8,22,5.9,47.4,23.2,28.5,0.9,25.5,25.3,18.9,IRQ
Iraq,Overall,Overall,2013,1230,35.44715447,25.93495935,33.57723577,5.040650407,29.26829268,36.2601626,29.51219512,4.959349593,29.75609756,36.2601626,31.62601626,2.357723577,1.869918699,-0.243902439,-1.869918699,IRQ
Iraq,Overall,Overall,2016,1000,51.9,12.2,33.1,2.8,35.4,26.7,34.5,3.4,37.5,24.6,37.3,0.6,18.8,0.9,0.2,IRQ
Ireland,Overall,Overall,2011,1001,18.98101898,22.47752248,58.54145854,0,4.995004995,20.07992008,74.92507493,0,45.25474525,28.67132867,26.07392607,0,-39.56043956,-69.93006993,19.18081918,IRL
Ireland,Overall,Overall,2013,1006,31.51093439,32.70377734,33.20079523,2.584493042,15.70576541,39.86083499,42.34592445,2.087475149,41.35188867,31.31212724,26.34194831,0.994035785,-1.689860835,-26.64015905,15.00994036,IRL
Ireland,Overall,Overall,2016,1005,38.30845771,35.82089552,20.7960199,5.074626866,22.28855721,42.08955224,31.14427861,4.47761194,60.69651741,26.86567164,12.33830846,0.099502488,17.51243781,-8.855721393,48.35820896,IRL
Israel,Overall,Overall,2016,366,36.33879781,34.9726776,19.67213115,9.016393443,21.31147541,38.79781421,33.06010929,6.830601093,54.3715847,24.59016393,19.67213115,1.366120219,16.66666667,-11.74863388,34.69945355,ISR
Italy,Overall,Overall,2011,987,10.03039514,45.89665653,39.0070922,5.06585613,4.457953394,58.15602837,34.75177305,2.634245187,36.7781155,51.36778116,9.929078014,1.925025329,-28.97669706,-30.29381966,26.84903749,ITA
Italy,Overall,Overall,2013,1007,8.738828203,47.76564052,40.8142999,2.68123138,4.071499503,53.72393247,39.62264151,2.581926514,32.67130089,52.33366435,13.60476663,1.390268123,-32.0754717,-35.55114201,19.06653426,ITA
Italy,Overall,Overall,2016,995,13.16582915,28.64321608,54.67336683,3.51758794,8.341708543,32.46231156,55.77889447,3.417085427,43.71859296,47.03517588,8.64321608,0.603015075,-41.50753769,-47.43718593,35.07537688,ITA
Ivory Coast -Cote d Ivoire,Overall,Overall,2016,1000,78,7.6,6,8.4,69.5,11.8,12.7,6,62,17.8,20.1,0.1,72,56.8,41.9,CIV
Japan,Overall,Overall,2011,1200,21.33333333,36.75,22.5,19.41666667,8,38.58333333,36.75,16.66666667,49.83333333,39.08333333,1.916666667,9.166666667,-1.166666667,-28.75,47.91666667,JPN
Japan,Overall,Overall,2013,1200,21.25,35.66666667,13.5,29.58333333,18.08333333,33.58333333,20.75,27.58333333,50.75,35.66666667,2.416666667,11.16666667,7.75,-2.666666667,48.33333333,JPN
Japan,Overall,Overall,2016,1161,19.63824289,41.42980189,13.17829457,25.75366064,8.354866494,42.98018949,24.63393626,24.03100775,59.25925926,29.3712317,4.048234281,7.321274763,6.45994832,-16.27906977,55.21102498,JPN
Kenya,Overall,Overall,2011,1000,44.1,9.9,35.2,10.8,35.9,13.3,40.3,10.5,46.3,25.8,26.4,1.5,8.9,-4.4,19.9,KEN
Kenya,Overall,Overall,2013,501,46.50698603,11.77644711,38.32335329,3.393213573,41.11776447,11.17764471,45.70858283,1.996007984,54.49101796,19.76047904,25.5489022,0.199600798,8.183632735,-4.590818363,28.94211577,KEN
"Korea, Rep (South)",Overall,Overall,2011,1524,15.6824147,52.95275591,28.80577428,2.559055118,11.67979003,42.51968504,42.32283465,3.477690289,50.32808399,39.96062992,8.595800525,1.115485564,-13.12335958,-30.64304462,41.73228346,KOR
"Korea, Rep (South)",Overall,Overall,2013,1501,20.71952032,60.69287142,16.72218521,1.865423051,20.71952032,54.497002,23.58427715,1.199200533,56.22918055,31.24583611,11.59227182,0.932711526,3.99733511,-2.864756829,44.63690873,KOR
"Korea, Rep (South)",Overall,Overall,2016,1500,11.66666667,45.13333333,41.06666667,2.133333333,4.133333333,27.93333333,66.46666667,1.466666667,49.4,41.46666667,8.733333333,0.4,-29.4,-62.33333333,40.66666667,KOR
Kosovo,Overall,Overall,2013,1037,52.94117647,8.486017358,31.91899711,6.653809065,36.2584378,44.3587271,9.643201543,9.739633558,57.66634523,27.19382835,9.161041466,5.978784957,21.02217936,26.61523626,48.50530376,KOS
Kosovo,Overall,Overall,2016,1031,46.2657614,35.01454898,13.09408341,5.625606208,37.63336566,39.67022308,13.77303589,8.923375364,55.38312318,30.06789525,12.0271581,2.521823472,33.17167798,23.86032978,43.35596508,KOS
Latvia,Overall,Overall,2013,1005,27.26368159,30.64676617,26.96517413,15.12437811,12.8358209,43.1840796,31.74129353,12.23880597,40.7960199,45.07462687,6.467661692,7.661691542,0.298507463,-18.90547264,34.32835821,LVA
Latvia,Overall,Overall,2016,1005,31.74129353,31.74129353,21.69154229,14.82587065,7.960199005,40.99502488,41.09452736,9.950248756,48.45771144,38.60696517,8.55721393,4.378109453,10.04975124,-33.13432836,39.90049751,LVA
Lebanon,Overall,Overall,2011,500,31.2,10.8,51,7,27.4,17,50.4,5.2,54.4,14.8,30.8,0,-19.8,-23,23.6,LBN
Lebanon,Overall,Overall,2013,1000,29,23.6,42.6,4.8,27.2,24.8,44.4,3.6,42.6,19.4,37.7,0.3,-13.6,-17.2,4.9,LBN
Lebanon,Overall,Overall,2016,1000,42.5,27.2,26.5,3.8,36.8,30.1,29.9,3.2,62.9,10.6,26.5,0,16,6.9,36.4,LBN
Lithuania,Overall,Overall,2011,1025,12.48780488,34.34146341,47.12195122,6.048780488,7.512195122,32.09756098,56.29268293,4.097560976,33.17073171,37.95121951,27.12195122,1.756097561,-34.63414634,-48.7804878,6.048780488,LTU
Lithuania,Overall,Overall,2013,1007,27.50744786,42.10526316,27.30883813,3.078450844,22.34359484,46.77259186,26.31578947,4.568023833,45.58093347,43.19761668,10.52631579,0.695134062,0.198609732,-3.972194638,35.05461768,LTU
Lithuania,Overall,Overall,2016,475,39.78947368,33.89473684,17.68421053,8.631578947,17.68421053,42.31578947,34.52631579,5.473684211,54.31578947,36,8.210526316,1.473684211,22.10526316,-16.84210526,46.10526316,LTU
Macedonia,Overall,Overall,2011,1209,40.69478908,32.58891646,22.82878412,3.887510339,25.3101737,41.27377998,29.03225806,4.383788255,47.47725393,41.85277089,9.429280397,1.240694789,17.86600496,-3.722084367,38.04797353,MKD
Macedonia,Overall,Overall,2013,1214,36.73805601,31.46622735,26.68863262,5.10708402,25.45304778,34.67874794,33.19604613,6.672158155,45.79901153,43.41021417,8.319604613,2.471169687,10.04942339,-7.742998353,37.47940692,MKD
Macedonia,Overall,Overall,2016,1202,38.51913478,31.281198,21.79700499,8.40266223,33.11148087,29.78369384,27.78702163,9.317803661,51.33111481,36.18968386,10.56572379,1.913477537,16.72212978,5.324459235,40.76539101,MKD
Malaysia,Overall,Overall,2011,520,43.65384615,30.57692308,18.65384615,7.115384615,38.65384615,36.15384615,20.76923077,4.423076923,64.61538462,29.80769231,2.884615385,2.692307692,25,17.88461538,61.73076923,MYS
Malaysia,Overall,Overall,2013,300,45.66666667,26.33333333,26,2,40,29.66666667,28,2.333333333,57.66666667,29.66666667,12.66666667,0,19.66666667,12,45,MYS
Mexico,Overall,Overall,2013,999,34.83483483,34.03403403,29.72972973,1.401401401,28.22822823,36.33633634,34.73473473,0.700700701,74.87487487,19.71971972,5.305305305,0.1001001,5.105105105,-6.506506507,69.56956957,MEX
Mexico,Overall,Overall,2016,815,20.73619632,31.90184049,45.03067485,2.331288344,8.834355828,38.89570552,51.7791411,0.490797546,78.77300613,16.93251534,4.294478528,0,-24.29447853,-42.94478528,74.47852761,MEX
Moldova,Overall,Overall,2011,1086,39.13443831,23.75690608,20.62615101,16.4825046,28.36095764,27.99263352,27.44014733,16.20626151,42.54143646,36.1878453,14.36464088,6.906077348,18.50828729,0.920810313,28.17679558,MDA
Mongolia,Overall,Overall,2016,1021,38.68756121,37.21841332,22.42899119,1.66503428,34.6718903,36.92458374,26.93437806,1.469147894,73.45739471,23.70225269,2.840352595,0,16.25857003,7.737512243,70.61704212,MNG
Morocco,Overall,Overall,2013,1000,51.3,15.5,14.2,19,48.3,14.2,22.4,15.1,66.5,21.6,10.6,1.3,37.1,25.9,55.9,MAR
Netherlands,Overall,Overall,2011,505,22.97029703,47.12871287,25.74257426,4.158415842,4.356435644,38.01980198,55.24752475,2.376237624,81.38613861,15.04950495,3.564356436,0,-2.772277228,-50.89108911,77.82178218,NLD
Netherlands,Overall,Overall,2013,1053,26.21082621,35.32763533,17.5688509,20.89268756,17.66381766,47.48338082,25.83095916,9.021842355,59.35422602,32.38366572,6.172839506,2.089268756,8.641975309,-8.1671415,53.18138651,NLD
Nigeria,Overall,Overall,2011,1049,87.32125834,4.385128694,5.338417541,2.955195424,85.60533842,4.861773117,5.815061964,3.717826501,89.4184938,4.194470925,5.719733079,0.667302193,81.9828408,79.79027645,83.69876072,NGA
Nigeria,Overall,Overall,2016,809,66.00741656,9.147095179,21.26081582,3.584672435,57.72558714,10.50679852,28.05933251,3.708281829,59.45611867,10.38318912,30.16069221,0,44.74660074,29.66625464,29.29542645,NGA
Norway,Overall,Overall,2016,970,40.20618557,39.79381443,14.02061856,5.979381443,25.25773196,43.60824742,24.43298969,6.701030928,69.3814433,16.90721649,12.98969072,0.721649485,26.18556701,0.824742268,56.39175258,NOR
Pakistan,Overall,Overall,2011,2705,26.69131238,32.71719039,31.12754159,9.463955638,24.51016636,29.94454713,35.60073937,9.944547135,35.12014787,48.05914972,11.12754159,5.693160813,-4.436229205,-11.09057301,23.99260628,PAK
Pakistan,Overall,Overall,2013,2000,31.55,33.65,31.35,3.45,27.6,29.75,38.6,4.05,43.85,38.95,15.45,1.75,0.2,-11,28.4,PAK
Pakistan,Overall,Overall,2016,2000,52.55,16.5,27.7,3.25,55.75,15.85,26,2.4,76.7,16.35,6.05,0.9,24.85,29.75,70.65,PAK
